date,shift_type,day_type,actual_sales,target_labour_pct,actual_labour_pct,target_labour_cost,actual_labour_cost,labour_variance,scheduled_staff,actual_staff,labour_hours,is_holiday
2024-01-01,Opening,Weekday,59.18,0.23,0.2019,13.61,11.95,-1.66,1,1,4,True
2024-01-01,Early Breakfast,Weekday,297.84,0.23,0.1752,68.5,52.18,-16.32,1,1,4,True
2024-01-01,Late Breakfast,Weekday,347.88,0.23,0.179,80.01,62.27,-17.74,1,1,4,True
2024-01-01,Lunch,Weekday,319.51,0.23,0.1968,73.49,62.88,-10.61,1,1,4,True
2024-01-01,Afternoon,Weekday,288.02,0.23,0.1758,66.24,50.63,-15.61,1,1,4,True
2024-01-01,Dinner,Weekday,306.96,0.23,0.1736,70.6,53.29,-17.31,1,1,4,True
2024-01-01,Late Night,Weekday,244.92,0.23,0.2099,56.33,51.41,-4.92,1,1,4,True
2024-01-01,Overnight,Weekday,186.0,0.23,0.1833,42.78,34.09,-8.69,1,1,4,True
2024-01-02,Opening,Weekday,215.41,0.23,0.2454,49.54,52.86,3.32,1,1,4,False
2024-01-02,Early Breakfast,Weekday,973.61,0.23,0.2469,223.93,240.38,16.45,3,3,12,False
2024-01-02,Late Breakfast,Weekday,1136.96,0.23,0.2274,261.5,258.54,-2.96,4,4,16,False
2024-01-02,Lunch,Weekday,1209.57,0.23,0.2394,278.2,289.57,11.37,4,4,16,False
2024-01-02,Afternoon,Weekday,963.5,0.23,0.2135,221.61,205.71,-15.9,3,3,12,False
2024-01-02,Dinner,Weekday,1089.7,0.23,0.2312,250.63,251.94,1.31,4,4,16,False
2024-01-02,Late Night,Weekday,916.72,0.23,0.2242,210.85,205.53,-5.32,3,3,12,False
2024-01-02,Overnight,Weekday,643.54,0.23,0.2243,148.01,144.35,-3.66,2,2,8,False
2024-01-03,Opening,Weekday,219.95,0.23,0.2337,50.59,51.4,0.81,1,1,4,False
2024-01-03,Early Breakfast,Weekday,995.0,0.23,0.2487,228.85,247.46,18.61,3,4,16,False
2024-01-03,Late Breakfast,Weekday,1107.93,0.23,0.249,254.82,275.87,21.05,4,4,16,False
2024-01-03,Lunch,Weekday,1051.22,0.23,0.2248,241.78,236.31,-5.47,3,3,12,False
2024-01-03,Afternoon,Weekday,914.75,0.23,0.2176,210.39,199.05,-11.34,3,3,12,False
2024-01-03,Dinner,Weekday,1048.28,0.23,0.2108,241.1,220.98,-20.12,3,3,12,False
2024-01-03,Late Night,Weekday,876.49,0.23,0.2405,201.59,210.8,9.21,3,3,12,False
2024-01-03,Overnight,Weekday,648.0,0.23,0.2351,149.04,152.34,3.3,2,2,8,False
2024-01-04,Opening,Weekday,225.16,0.23,0.2154,51.79,48.5,-3.29,1,1,4,False
2024-01-04,Early Breakfast,Weekday,934.54,0.23,0.2454,214.94,229.34,14.4,3,3,12,False
2024-01-04,Late Breakfast,Weekday,1128.44,0.23,0.2263,259.54,255.37,-4.17,4,4,16,False
2024-01-04,Lunch,Weekday,1107.53,0.23,0.2354,254.73,260.71,5.98,4,4,16,False
2024-01-04,Afternoon,Weekday,991.83,0.23,0.2202,228.12,218.4,-9.72,3,3,12,False
2024-01-04,Dinner,Weekday,1210.8,0.23,0.2185,278.48,264.56,-13.92,4,4,16,False
2024-01-04,Late Night,Weekday,817.06,0.23,0.2181,187.92,178.2,-9.72,3,3,12,False
2024-01-04,Overnight,Weekday,669.84,0.23,0.2448,154.06,163.98,9.92,2,2,8,False
2024-01-05,Opening,Friday,305.36,0.23,0.2112,70.23,64.49,-5.74,1,1,4,False
2024-01-05,Early Breakfast,Friday,1245.62,0.23,0.2146,286.49,267.31,-19.18,4,4,16,False
2024-01-05,Late Breakfast,Friday,1343.81,0.23,0.2057,309.08,276.42,-32.66,4,4,16,False
2024-01-05,Lunch,Friday,1757.7,0.23,0.2151,404.27,378.08,-26.19,6,5,20,False
2024-01-05,Afternoon,Friday,1459.9,0.23,0.2273,335.78,331.84,-3.94,5,5,20,False
2024-01-05,Dinner,Friday,1794.42,0.23,0.1978,412.72,354.94,-57.78,6,5,20,False
2024-01-05,Late Night,Friday,1137.21,0.23,0.2177,261.56,247.57,-13.99,4,4,16,False
2024-01-05,Overnight,Friday,811.49,0.23,0.1926,186.64,156.29,-30.35,3,2,8,False
2024-01-06,Opening,Weekend,326.99,0.23,0.1886,75.21,61.67,-13.54,1,1,4,False
2024-01-06,Early Breakfast,Weekend,1231.91,0.23,0.2111,283.34,260.06,-23.28,4,4,16,False
2024-01-06,Late Breakfast,Weekend,1621.49,0.23,0.2137,372.94,346.51,-26.43,5,5,20,False
2024-01-06,Lunch,Weekend,2270.15,0.23,0.1898,522.13,430.87,-91.26,7,6,24,False
2024-01-06,Afternoon,Weekend,2224.77,0.23,0.2057,511.7,457.64,-54.06,7,7,28,False
2024-01-06,Dinner,Weekend,2281.3,0.23,0.191,524.7,435.73,-88.97,8,6,24,False
2024-01-06,Late Night,Weekend,1215.17,0.23,0.1851,279.49,224.93,-54.56,4,3,12,False
2024-01-06,Overnight,Weekend,986.8,0.23,0.2094,226.96,206.64,-20.32,3,3,12,False
2024-01-07,Opening,Weekend,369.32,0.23,0.1926,84.94,71.13,-13.81,1,1,4,False
2024-01-07,Early Breakfast,Weekend,1307.93,0.23,0.1937,300.82,253.35,-47.47,4,4,16,False
2024-01-07,Late Breakfast,Weekend,1777.87,0.23,0.1715,408.91,304.9,-104.01,6,4,16,False
2024-01-07,Lunch,Weekend,2215.75,0.23,0.2142,509.62,474.61,-35.01,7,7,28,False
2024-01-07,Afternoon,Weekend,2282.38,0.23,0.2234,524.95,509.88,-15.07,8,7,28,False
2024-01-07,Dinner,Weekend,2155.11,0.23,0.1754,495.68,378.01,-117.67,7,5,20,False
2024-01-07,Late Night,Weekend,1270.61,0.23,0.2018,292.24,256.41,-35.83,4,4,16,False
2024-01-07,Overnight,Weekend,1092.5,0.23,0.1766,251.28,192.94,-58.34,4,3,12,False
2024-01-08,Opening,Weekday,104.6,0.23,0.2383,24.06,24.93,0.87,1,1,4,False
2024-01-08,Early Breakfast,Weekday,490.04,0.23,0.2328,112.71,114.08,1.37,2,2,8,False
2024-01-08,Late Breakfast,Weekday,595.76,0.23,0.2182,137.02,129.99,-7.03,2,2,8,False
2024-01-08,Lunch,Weekday,601.57,0.23,0.221,138.36,132.95,-5.41,2,2,8,False
2024-01-08,Afternoon,Weekday,513.47,0.23,0.2246,118.1,115.33,-2.77,2,2,8,False
2024-01-08,Dinner,Weekday,573.92,0.23,0.2467,132.0,141.59,9.59,2,2,8,False
2024-01-08,Late Night,Weekday,437.53,0.23,0.2382,100.63,104.22,3.59,1,1,4,False
2024-01-08,Overnight,Weekday,317.31,0.23,0.2243,72.98,71.17,-1.81,1,1,4,False
2024-01-09,Opening,Weekday,212.65,0.23,0.2171,48.91,46.17,-2.74,1,1,4,False
2024-01-09,Early Breakfast,Weekday,1002.88,0.23,0.2421,230.66,242.8,12.14,3,3,12,False
2024-01-09,Late Breakfast,Weekday,1024.53,0.23,0.2466,235.64,252.65,17.01,3,4,16,False
2024-01-09,Lunch,Weekday,1099.18,0.23,0.225,252.81,247.32,-5.49,4,4,16,False
2024-01-09,Afternoon,Weekday,923.63,0.23,0.2209,212.43,204.03,-8.4,3,3,12,False
2024-01-09,Dinner,Weekday,1102.24,0.23,0.2446,253.52,269.61,16.09,4,4,16,False
2024-01-09,Late Night,Weekday,923.96,0.23,0.2149,212.51,198.56,-13.95,3,3,12,False
2024-01-09,Overnight,Weekday,652.76,0.23,0.217,150.13,141.65,-8.48,2,2,8,False
2024-01-10,Opening,Weekday,225.52,0.23,0.2391,51.87,53.92,2.05,1,1,4,False
2024-01-10,Early Breakfast,Weekday,929.92,0.23,0.2253,213.88,209.51,-4.37,3,3,12,False
2024-01-10,Late Breakfast,Weekday,1031.54,0.23,0.242,237.25,249.63,12.38,3,4,16,False
2024-01-10,Lunch,Weekday,1015.92,0.23,0.2201,233.66,223.6,-10.06,3,3,12,False
2024-01-10,Afternoon,Weekday,892.7,0.23,0.2187,205.32,195.23,-10.09,3,3,12,False
2024-01-10,Dinner,Weekday,1194.9,0.23,0.2387,274.83,285.22,10.39,4,4,16,False
