date,day_of_week,day_type,month,quarter,shift_type,shift_start,shift_end,weather,weather_season,is_holiday,holiday_mult,season_name,season_mult,base_sales,target_sales,actual_sales,sales_variance
2024-01-01,Monday,Weekday,January,Q1,Opening,04:00,05:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,250,63.75,59.18,-4.57
2024-01-01,Monday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,1200,306.0,297.84,-8.16
2024-01-01,Monday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,1300,331.5,347.88,16.38
2024-01-01,Monday,Weekday,January,Q1,Lunch,11:00,14:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,1300,331.5,319.51,-11.99
2024-01-01,Monday,Weekday,January,Q1,Afternoon,14:00,17:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,1100,280.5,288.02,7.52
2024-01-01,Monday,Weekday,January,Q1,Dinner,17:00,20:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,1300,331.5,306.96,-24.54
2024-01-01,Monday,Weekday,January,Q1,Late Night,20:00,00:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,1000,255.0,244.92,-10.08
2024-01-01,Monday,Weekday,January,Q1,Overnight,00:00,04:00,Snowstorm,Winter,True,0.6,Winter Slump,0.85,800,204.0,186.0,-18.0
2024-01-02,Tuesday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,215.41,2.91
2024-01-02,Tuesday,Weekday,January,Q1,Early Breakfast,05:00,07:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1200,1020.0,973.61,-46.39
2024-01-02,Tuesday,Weekday,January,Q1,Late Breakfast,07:00,11:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1136.96,31.96
2024-01-02,Tuesday,Weekday,January,Q1,Lunch,11:00,14:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1209.57,104.57
2024-01-02,Tuesday,Weekday,January,Q1,Afternoon,14:00,17:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1100,935.0,963.5,28.5
2024-01-02,Tuesday,Weekday,January,Q1,Dinner,17:00,20:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1300,1105.0,1089.7,-15.3
2024-01-02,Tuesday,Weekday,January,Q1,Late Night,20:00,00:00,Sunny,Winter,False,1.0,Winter Slump,0.85,1000,850.0,916.72,66.72
2024-01-02,Tuesday,Weekday,January,Q1,Overnight,00:00,04:00,Sunny,Winter,False,1.0,Winter Slump,0.85,800,680.0,643.54,-36.46
2024-01-03,Wednesday,Weekday,January,Q1,Opening,04:00,05:00,Sunny,Winter,False,1.0,Winter Slump,0.85,250,212.5,219.95,7.45
