date,shift_type,day_type,actual_sales,target_waste_pct,actual_waste_pct,target_waste_cost,actual_waste_cost,waste_variance,waste_reason,is_over_target
2024-01-01,Opening,Weekday,59.18,0.03,0.0176,1.78,1.04,-0.74,Overproduction,False
2024-01-01,Early Breakfast,Weekday,297.84,0.03,0.0239,8.94,7.12,-1.82,UHC Expiration,False
2024-01-01,Late Breakfast,Weekday,347.88,0.03,0.0314,10.44,10.92,0.48,UHC Expiration,False
2024-01-01,Lunch,Weekday,319.51,0.03,0.0545,9.59,17.41,7.82,UHC Expiration,True
2024-01-01,Afternoon,Weekday,288.02,0.03,0.0109,8.64,3.14,-5.5,UHC Expiration,False
2024-01-01,Dinner,Weekday,306.96,0.03,0.0421,9.21,12.92,3.71,Dropped Food,False
2024-01-01,Late Night,Weekday,244.92,0.03,0.0289,7.35,7.08,-0.27,UHC Expiration,False
2024-01-01,Overnight,Weekday,186.0,0.03,0.0156,5.58,2.9,-2.68,Expired Vegetables,False
2024-01-02,Opening,Weekday,215.41,0.03,0.0171,6.46,3.68,-2.78,UHC Expiration,False
2024-01-02,Early Breakfast,Weekday,973.61,0.03,0.0377,29.21,36.71,7.5,Overproduction,False
2024-01-02,Late Breakfast,Weekday,1136.96,0.03,0.0415,34.11,47.18,13.07,Wrong Order,False
2024-01-02,Lunch,Weekday,1209.57,0.03,0.055,36.29,66.53,30.24,Dropped Food,True
2024-01-02,Afternoon,Weekday,963.5,0.03,0.0127,28.9,12.24,-16.66,Wrong Order,False
2024-01-02,Dinner,Weekday,1089.7,0.03,0.0555,32.69,60.48,27.79,Overproduction,True
2024-01-02,Late Night,Weekday,916.72,0.03,0.0219,27.5,20.08,-7.42,Dropped Food,False
2024-01-02,Overnight,Weekday,643.54,0.03,0.0177,19.31,11.39,-7.92,UHC Expiration,False
2024-01-03,Opening,Weekday,219.95,0.03,0.0124,6.6,2.73,-3.87,Overproduction,False
2024-01-03,Early Breakfast,Weekday,995.0,0.03,0.0332,29.85,33.03,3.18,UHC Expiration,False
2024-01-03,Late Breakfast,Weekday,1107.93,0.03,0.0353,33.24,39.11,5.87,UHC Expiration,False
2024-01-03,Lunch,Weekday,1051.22,0.03,0.0434,31.54,45.62,14.08,UHC Expiration,False
2024-01-03,Afternoon,Weekday,914.75,0.03,0.0193,27.44,17.65,-9.79,Expired Vegetables,False
2024-01-03,Dinner,Weekday,1048.28,0.03,0.0495,31.45,51.89,20.44,Overproduction,False
2024-01-03,Late Night,Weekday,876.49,0.03,0.0389,26.29,34.1,7.81,Overproduction,False
2024-01-03,Overnight,Weekday,648.0,0.03,0.0156,19.44,10.11,-9.33,Overproduction,False
2024-01-04,Opening,Weekday,225.16,0.03,0.0167,6.75,3.76,-2.99,Expired Vegetables,False
2024-01-04,Early Breakfast,Weekday,934.54,0.03,0.0292,28.04,27.29,-0.75,UHC Expiration,False
2024-01-04,Late Breakfast,Weekday,1128.44,0.03,0.0349,33.85,39.38,5.53,Delivery Driver No Show:,False
2024-01-04,Lunch,Weekday,1107.53,0.03,0.0558,33.23,61.8,28.57,UHC Expiration,True
2024-01-04,Afternoon,Weekday,991.83,0.03,0.0192,29.75,19.04,-10.71,Overproduction,False
2024-01-04,Dinner,Weekday,1210.8,0.03,0.0416,36.32,50.37,14.05,UHC Expiration,False
2024-01-04,Late Night,Weekday,817.06,0.03,0.0377,24.51,30.8,6.29,UHC Expiration,False
2024-01-04,Overnight,Weekday,669.84,0.03,0.0187,20.1,12.53,-7.57,Overproduction,False
2024-01-05,Opening,Friday,305.36,0.03,0.0119,9.16,3.63,-5.53,Expired Vegetables,False
2024-01-05,Early Breakfast,Friday,1245.62,0.03,0.033,37.37,41.11,3.74,UHC Expiration,False
2024-01-05,Late Breakfast,Friday,1343.81,0.03,0.0428,40.31,57.52,17.21,Overproduction,False
2024-01-05,Lunch,Friday,1757.7,0.03,0.0539,52.73,94.74,42.01,UHC Expiration,True
2024-01-05,Afternoon,Friday,1459.9,0.03,0.0267,43.8,38.98,-4.82,UHC Expiration,False
2024-01-05,Dinner,Friday,1794.42,0.03,0.0572,53.83,102.64,48.81,Overproduction,True
2024-01-05,Late Night,Friday,1137.21,0.03,0.0332,34.12,37.76,3.64,UHC Expiration,False
2024-01-05,Overnight,Friday,811.49,0.03,0.0162,24.34,13.15,-11.19,Overproduction,False
2024-01-06,Opening,Weekend,326.99,0.03,0.01,9.81,3.27,-6.54,Expired Vegetables,False
2024-01-06,Early Breakfast,Weekend,1231.91,0.03,0.0359,36.96,44.23,7.27,UHC Expiration,False
2024-01-06,Late Breakfast,Weekend,1621.49,0.03,0.0427,48.64,69.24,20.6,Expired Vegetables,False
2024-01-06,Lunch,Weekend,2270.15,0.03,0.0543,68.1,123.27,55.17,Dropped Food,True
2024-01-06,Afternoon,Weekend,2224.77,0.03,0.0298,66.74,66.3,-0.44,Overproduction,False
2024-01-06,Dinner,Weekend,2281.3,0.03,0.0534,68.44,121.82,53.38,UHC Expiration,True
2024-01-06,Late Night,Weekend,1215.17,0.03,0.0335,36.46,40.71,4.25,UHC Expiration,False
2024-01-06,Overnight,Weekend,986.8,0.03,0.017,29.6,16.78,-12.82,UHC Expiration,False
2024-01-07,Opening,Weekend,369.32,0.03,0.0176,11.08,6.5,-4.58,UHC Expiration,False
2024-01-07,Early Breakfast,Weekend,1307.93,0.03,0.0334,39.24,43.68,4.44,Overproduction,False
2024-01-07,Late Breakfast,Weekend,1777.87,0.03,0.0468,53.34,83.2,29.86,UHC Expiration,False
